Date,# Of Orders,17612,17904,17914,18675,18795,Orders,Packages,Space Rental,Total
2026-05-01,24,78,2,1,0,0,102,60.75,41.4,204.15
2026-05-02,0,0,0,0,0,0,0,0,41.4,41.4
2026-05-03,0,0,0,0,0,0,0,0,41.4,41.4
2026-05-04,21,62,3,1,3,0,89.25,51.75,40.5,181.5
2026-05-05,46,142,2,3,0,0,195.5,110.25,39.15,344.9
2026-05-06,1,40,0,0,0,0,4.25,30,39.15,73.4
2026-05-07,72,274,17,13,8,2,306,235.5,40.5,582
2026-05-08,18,57,2,33,0,9,76.5,75.75,39.6,191.85
2026-05-09,0,0,0,0,0,0,0,0,39.6,39.6
2026-05-10,0,0,0,0,0,0,0,0,39.6,39.6
2026-05-11,32,44,2,2,24,1,136,54.75,39.6,230.35
2026-05-12,37,176,2,5,9,2,157.25,145.5,37.35,340.1
2026-05-13,41,118,1,2,25,0,174.25,109.5,36,319.75
2026-05-14,26,86,1,7,2,0,110.5,72,35.55,218.05
2026-05-15,50,149,8,5,0,0,212.5,121.5,33.75,367.75
2026-05-16,0,0,0,0,0,0,0,0,33.75,33.75
2026-05-17,0,0,0,0,0,0,0,0,33.75,33.75
2026-05-18,18,76,0,2,1,2,76.5,60.75,38.7,175.95
2026-05-19,25,62,1,6,0,4,106.25,54.75,38.25,199.25
2026-05-20,22,47,1,5,3,0,93.5,42,37.8,173.3
2026-05-21,22,104,2,0,1,0,93.5,80.25,36.45,210.2
2026-05-22,18,59,6,4,23,2,76.5,70.5,35.1,182.1
2026-05-23,0,0,0,0,0,0,0,0,35.1,35.1
2026-05-24,0,0,0,0,0,0,0,0,35.1,35.1
2026-05-25,0,0,0,0,0,0,0,0,35.1,35.1
2026-05-26,43,163,2,10,2,2,182.75,134.25,33.75,350.75
2026-05-27,35,148,2,9,0,1,148.75,120,32.4,301.15
2026-05-28,24,86,5,7,2,3,102,77.25,36.9,216.15
2026-05-29,16,40,0,3,24,0,68,50.25,36.45,154.7
2026-05-30,0,0,0,0,0,0,0,0,36.45,36.45
2026-05-31,0,0,0,0,0,0,0,0,36.45,36.45
TOTAL,591,2011,59,118,127,28,2511.75,1757.25,1156.05,5425.05
